ID,Conversation,Clean_Conversation
1,Good morning everyone!! 👋 Have a wonderful day! 😊,good morning everyone have a wonderful day
2,Don't forget to submit your assignment before 11:59 PM. 📚,don t forget to submit your assignment before pm
3,Check this article: https://www.technews.com/latest 🚀,check this article
4,Contact me at arunkumar123@gmail.com for more information. 📧,contact me at for more information
5,My mobile number is 9123456780. Please call after 6 PM. 📞,my mobile number is please call after pm
6,"Happy Birthday, Priya!!! 🎂🎉 Have an amazing year ahead! 🥳",happy birthday priya have an amazing year ahead
7,I just bought a new laptop for ₹65000. 💻,i just bought a new laptop for
8,Follow us @DataWorld and #ArtificialIntelligence #Python 🤖,follow us and artificialintelligence python
9,<i>Thank you</i> for visiting our website today! 🌐,thank you for visiting our website today
10,Wow!!! The concert was absolutely incredible!! 🎵🔥,wow the concert was absolutely incredible
11,Meeting starts at 2:00 PM in Room No. 205. ⏰,meeting starts at pm in room no
12,Congratulations! 🎓 You successfully completed the course with 92%.,congratulations you successfully completed the course with
13,Order ID: #ORD56789 has been shipped successfully. 📦,order id ord has been shipped successfully
14,OMG!! 😲 I never expected this surprise! 🎁,omg i never expected this surprise
15,"Limited-time offer: Buy 2, Get 1 Free!! 🛍️ Hurry up!",limited time offer buy get free hurry up
