ID,Conversation
1,Good morning everyone!! 👋 Have a wonderful day! 😊
2,Don't forget to submit your assignment before 11:59 PM. 📚
3,Check this article: https://www.technews.com/latest 🚀
4,Contact me at arunkumar123@gmail.com for more information. 📧
5,My mobile number is 9123456780. Please call after 6 PM. 📞
6,"Happy Birthday, Priya!!! 🎂🎉 Have an amazing year ahead! 🥳"
7,I just bought a new laptop for ₹65000. 💻
8,Follow us @DataWorld and #ArtificialIntelligence #Python 🤖
9,<i>Thank you</i> for visiting our website today! 🌐
10,Wow!!! The concert was absolutely incredible!! 🎵🔥
11,Meeting starts at 2:00 PM in Room No. 205. ⏰
12,Congratulations! 🎓 You successfully completed the course with 92%.
13,Order ID: #ORD56789 has been shipped successfully. 📦
14,OMG!! 😲 I never expected this surprise! 🎁
15,"Limited-time offer: Buy 2, Get 1 Free!! 🛍️ Hurry up!"
